PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,TEAM
David Stockton,2,0,3.0,1.0,0.0,0.5,0.5,0.0,0.00,0.00,0.0,0.5,0.0,UTAH
Ekpe Udoh,6,0,3.5,0.3,0.2,0.3,0.5,0.0,0.00,0.33,0.2,0.3,0.0,UTAH
CJ McCollum,4,4,38.8,25.3,0.0,2.0,2.0,3.5,1.25,0.25,2.3,2.8,1.6,POR
Damian Lillard,4,4,40.5,18.5,0.8,3.8,4.5,4.8,1.25,0.00,4.0,2.0,1.2,POR
Al-Farouq Aminu,4,4,32.8,17.3,3.0,6.0,9.0,1.3,1.00,0.50,1.5,2.0,0.8,POR
Jusuf Nurkic,4,4,23.5,11.8,3.0,5.0,8.0,1.0,1.50,1.25,0.8,3.5,1.3,POR
Evan Turner,3,3,29.0,9.3,1.7,2.3,4.0,3.3,1.00,0.33,2.0,2.7,1.7,POR
Maurice Harkless,2,1,26.5,8.0,1.5,2.5,4.0,2.0,0.00,0.50,0.5,2.0,4.0,POR
Zach Collins,4,0,17.5,7.0,0.8,2.3,3.0,1.5,0.75,0.50,0.5,2.5,3.0,POR
Jake Layman,1,0,8.0,6.0,0.0,1.0,1.0,1.0,2.00,0.00,0.0,0.0,0.0,POR
Shabazz Napier,2,0,17.5,5.5,0.0,1.0,1.0,1.5,1.50,0.00,3.0,0.5,0.5,POR
Meyers Leonard,2,0,4.0,4.0,0.0,2.0,2.0,0.0,0.00,0.00,0.0,0.0,0.0,POR
Pat Connaughton,4,0,14.8,4.0,0.5,0.5,1.0,1.5,0.25,0.25,0.3,2.3,6.0,POR
Caleb Swanigan,1,0,8.0,3.0,0.0,2.0,2.0,1.0,0.00,0.00,1.0,1.0,1.0,POR
Ed Davis,4,0,17.8,2.8,1.3,6.8,8.0,0.0,0.00,0.25,1.0,1.8,0.0,POR
Wade Baldwin IV,4,0,4.8,1.0,0.0,0.8,0.8,0.8,0.25,0.25,0.8,0.3,1.0,POR
Anthony Davis,9,9,39.8,30.1,2.7,10.8,13.4,1.7,2.00,2.33,2.6,3.3,0.7,NOR
Jrue Holiday,9,9,38.7,23.7,1.0,4.7,5.7,6.3,1.11,0.56,2.6,2.4,2.5,NOR
Nikola Mirotic,9,9,35.6,15.0,1.0,8.6,9.6,1.7,1.11,1.33,1.1,2.7,1.5,NOR
E'Twaun Moore,9,9,31.6,11.3,0.7,1.9,2.6,1.7,0.67,0.11,1.2,2.2,1.4,NOR
Rajon Rondo,9,9,33.6,10.3,1.0,6.6,7.6,12.2,1.44,0.22,3.7,2.2,3.3,NOR
Jordan Crawford,2,0,7.5,9.5,0.0,2.0,2.0,0.5,0.50,0.00,1.5,0.5,0.3,NOR
Ian Clark,9,0,21.1,7.8,0.2,0.9,1.1,1.2,0.89,0.22,1.0,2.2,1.2,NOR
Darius Miller,9,0,18.0,4.8,0.2,2.0,2.2,1.2,0.56,0.00,0.7,1.1,1.8,NOR
Solomon Hill,9,0,12.7,3.7,0.7,1.2,1.9,0.8,0.11,0.11,0.7,1.9,1.2,NOR
Cheick Diallo,7,0,6.9,1.4,0.6,0.7,1.3,0.0,0.14,0.14,0.1,1.3,0.0,NOR
DeAndre Liggins,3,0,4.7,0.3,0.0,0.3,0.3,0.0,0.00,0.00,0.7,0.0,0.0,NOR
Emeka Okafor,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,1.0,0.0,NOR
Kevin Durant,19,19,38.3,28.7,0.6,6.7,7.3,4.3,0.68,1.11,2.4,1.9,1.8,GSW
Stephen Curry,13,12,36.7,25.8,0.5,5.6,6.2,5.5,1.69,0.62,3.0,2.4,1.8,GSW
Klay Thompson,19,19,38.2,20.6,0.6,3.4,4.0,1.9,0.79,0.26,1.5,2.2,1.2,GSW
Draymond Green,19,19,38.9,10.9,2.2,9.3,11.4,8.1,2.00,1.47,3.2,3.5,2.6,GSW
Andre Iguodala,13,12,27.5,7.9,0.8,4.2,4.9,3.1,1.38,0.38,1.0,1.8,3.1,GSW
Shaun Livingston,19,0,17.4,6.8,0.6,1.7,2.3,1.5,0.37,0.05,0.8,1.5,1.8,GSW
JaVale McGee,11,7,11.5,6.2,1.2,2.1,3.3,0.4,0.27,0.73,0.4,1.6,1.0,GSW
Quinn Cook,17,0,10.3,4.8,0.1,1.2,1.4,0.6,0.24,0.12,0.3,0.8,2.2,GSW
Kevon Looney,19,5,20.2,4.4,2.2,2.5,4.6,1.0,0.74,0.42,0.4,2.6,2.4,GSW
David West,16,0,10.1,3.6,0.6,1.6,2.2,1.9,0.38,0.63,0.6,1.3,3.4,GSW
Nick Young,18,2,10.7,2.7,0.1,0.6,0.6,0.2,0.06,0.00,0.1,0.9,2.0,GSW
Zaza Pachulia,6,0,4.0,2.5,1.0,0.8,1.8,0.2,0.50,0.17,0.3,0.2,0.5,GSW
Jordan Bell,15,0,9.5,1.8,0.7,1.7,2.5,0.9,0.40,0.47,0.4,1.2,2.3,GSW
Damian Jones,4,0,2.8,1.0,0.3,0.5,0.8,0.0,0.00,0.00,0.8,1.0,0.0,GSW
Patrick McCaw,4,0,3.0,1.0,0.0,0.5,0.5,0.0,0.50,0.00,0.0,0.3,0.0,GSW
LaMarcus Aldridge,5,5,35.4,23.6,2.6,6.6,9.2,2.4,0.60,0.40,1.8,1.8,1.3,SAS
